archived,expiration,id,supervisor_id,cds,description,keywords,level,notes,required_knowledge,title,type
false,2024-05-20 22:00:00.000000,1001,300020,Aerospace Engineering,A generalized-likelihood-ratio-based test is proposed to acquire Starlink's downlink signals.,"Doppler effect, Downlink, Receivers, OFDM, Low earth orbit satellites, Bandwidth, Synchronization",Bachelor's,"","Signal processing, Communication protocols, Statistics.",Acquisition Doppler Tracking and Positioning With Starlink LEO Satellites,Research
false,2023-12-31 22:00:00.000000,1002,300019,Aerospace Engineering,Two recursive algorithms for the detection of multiple superimposed tones in noise and the estimation of their parameters should be derived. They are based on a maximum likelihood approach and combine an innovative single-tone,"Frequency estimation, Maximum likelihood estimation, Radar, Iterative methods, Approximation algorithms, MIMO communication, Interpolation",Master's,"","Algorithm design, Radar systems, Advanced mathematics.",Recursive Algorithms for the Estimation of Multiple Superimposed Undamped Tones and Their Application to Radar Systems,Research
false,2024-07-19 22:00:00.000000,1003,300019,Electrical Engineering,Location-based services or smart home applications all depend on an accurate indoor positioning system. Basically one divides these systems into token-based and token-free localization systems. ,"Indoor Positioning System, Indoor Localization, Electric Field Sensing, Electric Potential Sensing, Body Charge Distribution",Bachelor's,"","Sensor technologies, Algorithm development, Networking.",Performing indoor localization with electric potential sensing,Development
false,2024-06-21 22:00:00.000000,1004,300019,Computer Engineering,Many End-to-End (E2E) testing tools allow developers to create repeatable test scripts that mimic a human user's interaction with the application and evaluate its response. Various paradigms of testing tools have been defined that are differentiated based,"Mobile Applications, Artificial Intelligence, Human-Computer Interfaces, Machine Learning",Master's,"","Test automation, Artificial intelligence, Mobile systems.",Computer vision techniques for mobile testing, Software Testing
false,2026-10-15 22:00:00.000000,1005,300020,Electrical Engineering,Road traffic accidents caused approximately 1.35 million deaths worldwide in 2016. Active driver assistance systems (ADASs) have been shown to dramatically reduce traffic accidents,"Radar, Radar Imaging, Radar Detection, Doppler Radar, Doppler Effect, Laser Radar, Radar Antennas",Master's,"","Radar technology, Signal processing, Automotive safety.",Automotive Imaging and Super-Resolution Radar Systems,Research
false,2023-12-31 22:00:00.000000,1006,300018,Computer Engineering,"Advanced driver assistance systems (ADASs) and autonomous vehicles rely on different types of sensors, such as camera, radar, ultrasonic, and LiDAR, to sense the surrounding environment.","Radar, Radar Imaging, Radar Detection, Doppler Radar, Doppler Effect, Laser Radar, Radar Antennas",Bachelor's,"","Sensor integration, Machine learning, Software development.",Deep-Neural-Network-Enabled Vehicle Detection Using High-Resolution Automotive Radar Imaging,Development
false,2024-07-19 22:00:00.000000,1007,300016,Computer Engineering,"With the widespread use of biometric systems, the demographic bias problem raises more attention. Although many studies addressed bias issues in biometric verification, there are no works that analyze the bias in presentation attack detection decisions.","Training, Databases, Training data, Signal processing algorithms, Europe, Signal processing, Iris recognition",Master's,"","Biometric systems, Signal processing, Database management.",Demographic Bias in Presentation Attack Detection of Iris Recognition Systems,Research
true,2024-07-19 22:00:00.000000,1008,300016,Computer Engineering,"While bias across demographic groups in FR systems has already been studied, the bias of explainability tools has not yet been investigated. The possible existence of bias in their outcome can lead to a chain of biased decisions. ","Deep Learning, Computer Vision, Face Recognition, Europe, Signal Processing, Behavioral Sciences",Master's,"","Deep learning, Computer vision, Ethical considerations.",Are Explainability Tools Gender Biased?,Research
true,2024-06-21 22:00:00.000000,1009,300017,Computer Engineering,This work starts by adapting the penalty margin loss to the iris recognition problem. This included novel analyses on the appropriate penalty margin for iris recognition. ,"Training, Analytical Models, Image Resolution, Biological System Modeling, Data Models, Knowledge Transfer, Iris Recognition",Bachelor's,"","Machine learning, Data analysis, Statistical modeling.",Low-resolution Iris Recognition via Knowledge Transfer,Development
true,2023-12-31 22:00:00.000000,1010,300016,Computer Engineering,"Despite the wide use of deep neural network for periocular verification, achieving smaller deep learning models with high performance that can be deployed on low computational powered devices remains a challenge.","Smartphones, Computational Modeling, Training, Performance Evaluation, Databases, Feature Extraction, Lighting",Bachelor's,"","Deep learning, Model optimization, Mobile application development.",Compact Models for Periocular Verification Through Knowledge Distillation,Development
false,2024-08-15 22:00:00.000000,1011,300018,Aerospace Engineering,Design and implement algorithms for autonomous navigation in low earth orbit satellites.,"Orbital Mechanics, Autonomous Navigation, Spacecraft Dynamics, Kalman Filtering, Control Systems",Master's,"","Orbital mechanics, Control systems, Algorithm design.",Autonomous Navigation Algorithms for Low Earth Orbit Satellites,Research
false,2024-09-30 22:00:00.000000,1012,300019,Computer Engineering,Develop a real-time image recognition system using deep learning for smart home security applications.,"Image Recognition, Deep Learning, Convolutional Neural Networks, Real-time Systems, Smart Home Security",Bachelor's,"","Computer vision, Real-time systems, Security protocols.",Real-time Image Recognition for Smart Home Security,Development
false,2025-02-28 22:00:00.000000,1013,300020,Electrical Engineering,Implement and evaluate algorithms for super-resolution radar imaging to enhance automotive safety.,"Super-Resolution Imaging, Radar Systems, Automotive Safety, Signal Processing, Algorithm Implementation",Master's,"","Signal processing, Radar technology, Algorithm evaluation.",Enhanced Automotive Safety through Super-Resolution Radar Imaging,Development
true,2025-01-15 22:00:00.000000,1014,300018,Aerospace Engineering,Investigate the impact of atmospheric conditions on radar performance and propose mitigation techniques.,"Radar Performance, Atmospheric Effects, Signal Processing, Mitigation Techniques",Master's,"","Meteorology, Signal processing, Algorithm development.",Mitigating Atmospheric Effects on Radar Performance,Research
true,2024-12-01 22:00:00.000000,1015,300017,Computer Engineering,Develop algorithms for iris recognition systems resilient to adversarial attacks and variations in lighting conditions.,"Adversarial Attacks, Iris Recognition, Algorithm Development, Lighting Conditions, Biometric Systems",Bachelor's,"","Cybersecurity, Biometric systems, Algorithm design.",Robust Iris Recognition Algorithms for Adverse Conditions,Development
